username,comment,commentDate,comments,label
wx.hong,Mari kita lihat respon 01 & 03👏👏 ayo jgn malu2 kasi ucapan selamat ke 02👏,2024-03-20T15:07:52.000Z,"b'Let's see the response to 01 & 03, don't be shy, give congratulations to 02'",POSITIVE
vita_victoria11,tidak  heran. Krn sebelum pencoblosan  saja  udah tau hasilnya. Sebenarnya  pemilihan umum  hanya buang2 uang  saja . Selamat menikmati dan jangan mengeluh.,2024-03-20T16:01:04.000Z,"not suprisingly. Because even before voting, you already know the results. Actually, general elections are just a waste of money. Enjoy and don't complain.'",NEGATIVE
eddysiswanto.official,🔥🔥🔥👏👏👏✌️✌️✌️❤❤❤,2024-03-20T16:00:03.000Z,b'',POSITIVE
viorasuryandra,"Kalau kata  Bapak  @deddysitorusofficial binatang pun kalau di modalin 460T pasti menang.
Dan sekarang kemenangan dia tidak menggembirakan, tidak antusias pendukungnya.
Menang pun tidak PD.
Apa karena kecurangan yah.",2024-03-20T15:49:59.000Z,"b'As Mr. @deddysitorusofficial says, even animals with 460T capital will definitely win.\nAnd now his victory is not encouraging, his supporters are not enthusiastic.\nWinning is not easy either.\nIs it because of cheating, huh.'",NEGATIVE
wolvet77,@jokowi akan dikenang  sebagai  presiden pling BIADAB spjg sejarah indonesia merdeka.,2024-03-20T16:05:32.000Z,b'@jokowi will be remembered as the most BIZARRE president in the history of independent Indonesia.',NEGATIVE
misbahuddintjalla,Pastilah menang dan andaikan ada 70 provinsi  juga  pasti akan diambil semua  karena  mmg  dari  awal  sudah  disetting spt itu. Itu angka  tidak  ada gunax ditampilkan  karena  angka itu adalah hasil akhir  dari  kecurangan  yang  telah disetting  dengan  sempurna  dari  awal dan pelaku utamax itu adalah  yang  pernah mencurangi prabowo pada pilpres lalu. Dan  sekarang  prabowo  dengan  senang hati ikut  yang  penting bisa menang.,2024-03-20T15:32:10.000Z,"b'You will definitely win and if there were 70 provinces, they would all be taken because it was set up like that from the start. That number has no use being displayed because that number is the final result of fraud which was set up perfectly from the start and the main perpetratorx was the one who cheated Prabowo in the last presidential election. And now Prabowo is happy to participate, the important thing is to win.'",NEGATIVE
alamkolaka,Quick count sudah benar  cuma   orang   yang  gagal susah menerima,2024-03-20T15:51:09.000Z,"Quick count is correct, only people who fail have difficulty accepting it.'",POSITIVE
faro.nando,Udah direncanakan  Bapak  Jokowi udah jelas  tidak  usah  menunggu  tgl ini 😂,2024-03-20T16:11:51.000Z,"Mr Jokowi has already planned, it's clear there's no need to wait for this date'",POSITIVE
raendra_olshop,Presiden pilihanku tetap  Bapak  @aniesbaswedan no debat..!!!!,2024-03-20T15:26:07.000Z,My chosen President is still Mr @aniesbaswedan no debate..!!!!',NEGATIVE
pattaseli,tombol  tidak  percaya @kpu_ri ===>>,2024-03-20T15:44:49.000Z,b'don't believe button @kpu_ri ===>>',NEGATIVE
yana4ajah,Gw adalah satu dari 40 juta orang lebih  yang  milih Anies...,2024-03-20T15:32:31.000Z,bI am one of more than 40 million people who voted for Anies...',POSITIVE
ian_ardians,Turut berdukacita atas meninggalnya Demokrasi di Negara Kesatuan Republik Indonesia.. 🏴🏴,2024-03-20T15:25:08.000Z,My condolences for the death of Democracy in the Unitary State of the Republic of Indonesia..',POSITIVE
alceyh_,"Miris melihat komentar² nya, apakah susah untuk sekedar menerima kenyataan dengan legowo??, bicara ttg hak angket, 25% yang mau diangket itu apa dulu??, suara  masyarakat  kah??, ya artinya paslon  yang  kalah tidak percaya dengan suara  masyarakat . Pak prabowo dahulunya kalah tidak sebegitunya deh,  tidak  sampe mkmk. Yang saya herankan 25% ingin mengajukan gugatan ke Mk itu konsepnya bagaimana??, calon mana  yang  terbukti suaranya digelembungkan??, adakah bukti spesifik??. Jika hanya teriak curang saja semua orang juga bisa. Salah satu pendukungnya saja ditanya kemarin tidak bisa jawab kok. Ya bilang saja gitulohh memang sebenarnya mayoritas  masyarakat  memilih pragib, selesai. Tidak perlulah ada demo sana sini ricuh sana sini hanya karena dukungan kalian tidak menang. Coba difikirkan apa faedahnya ricuh sana sini??, tidak ada kan??. Sudahlah, damai saja.",2024-03-20T22:03:26.000Z,"b'It's sad to see the comments, is it difficult to just accept the reality with grace? . Pak Prabowo previously lost not that much, not to the point where he lost. What I'm surprised about is that 25% want to file a lawsuit against MK, what is the concept? If you just scream cheating, everyone can do it too. One of his supporters was asked yesterday and couldn't answer. Yes, just say that, in fact the majority of people choose pragib, that's it. There is no need for chaotic demonstrations here and there just because your support is not winning. Try to think about what the benefits of chaos here and there are?? There isn't any, right?? Never mind, just be peaceful.'",NEGATIVE
gustiden_,🥶🥶🥶🥶🥶🥶🥶🥶🥶,2024-03-21T00:27:45.000Z,b'',POSITIVE
haeriahhamri,Saya melihat banyak komenan yang tidak bisa terima kenyataan😆 tetap menyala buat 02🔥,2024-03-20T21:10:11.000Z,I see a lot of comments that can't accept the fact that it stays on for 02',NEGATIVE
_manggalehsumbar__,96 itu  masyarakat  goib  yang  coblos 😂,2024-03-20T16:15:39.000Z,b'96 is a crazy society that votes,POSITIVE
auliasentosa08,Dari awal sampai akhir angka 58% tak tergoyahkan.. Herann😂😂,2024-03-20T15:20:20.000Z,From start to finish the 58% figure was unshakable.. Surprised',POSITIVE
raymondstones1981,"Saya  tidak  tau ada kecurangan atau tidak,  tapi   kalau  curang  setiap satu suara  yang  dicuri atau diada adakan harus dipertanggung jawabkan satu persatu tuh.. ngeri ngeri",2024-03-20T15:32:51.000Z,"b'I don't know whether there was fraud or not, but if it is fraudulent, every single vote that is stolen or staged must be accounted for one by one... it's horrifying.'",NEGATIVE
kristian__namos,Klo 02  sudah  demo bahaya,2024-03-25T04:47:04.000Z,b'Klo 02 has already demonstrated danger',NEGATIVE
ayuaditya_8,Menyalaahhh 02 🔥🔥,2024-03-20T16:03:59.000Z,b'Lightning up 02',POSITIVE
wegig_ciang,"27 juta itu pendukungnya  Bapak  Mahfud, Yakin  sekali  asli 🙌",2024-03-20T16:07:23.000Z,"b'27 million is Mr Mahfud's supporter, very sure it's genuine'",POSITIVE
meilela_hanafie,"Selamat ya  Bapak  presiden , akhirnya tahu caranya biar menang di masa tuamu, ya  Bapak  memang kalau mau menang harus begitu. Sekali lagi selamat ya  Bapak  jadi peres iden",2024-03-20T15:36:21.000Z,"Congratulations, Mr President, you finally know how to win in your old age, yes sir, if you want to win you have to do that. Once again, congratulations, sir, for becoming Peres Iden'",POSITIVE
cnofiebaskoro,Yg paling kecewa pasti 01😂😂😂😂😂..udah di bantu malaikat Ama imam Mahdi dan bonus tiket surga masih saja kalah,2024-03-20T15:31:12.000Z,b'The one who is most disappointed is definitely 01...already helped by the angel Ama Imam Mahdi and the bonus ticket to heaven is still lost',NEGATIVE
andimuharalam,"Saya mewakili sebagai pendukung abah Anies, mengucapkan selamat kepada Bapak Prabowo atas terpilihnya sebagai presiden, mengakui itu emang sulit tapi mau gimana lagi? Inilah hasilnya👏🏻",2024-03-20T22:06:14.000Z,"b'I represent as a supporter of Mr Anies, congratulating Mr Prabowo on his election as president, admitting that it is indeed difficult but what else can we do? This is the result'",NEGATIVE
nandyachmad,"Pemilu sudah selesai, hasilnya sudah ditetapkan... Semoga Damai Indonesia ku",2024-03-20T15:38:57.000Z,"b'The election is over, the results have been determined... May my Indonesia be peaceful'",NEGATIVE
_intan.sari,"Dari dasinya mah ,Anies Mahfud oke 😍😁  tapi  gpp,,, tetap  bangga dibarisan AMIN ❤️",2024-03-20T16:31:54.000Z,"b'From his tie, Anies Mahfud is okay but that's okay, he's still proud to be in the AMIN line'",POSITIVE
ferdyanggarary,OKE GASSS OKE GASSS OKE GASSS,2024-03-20T15:44:05.000Z,OKE GAS OKE GAS OKE GAS',NEGATIVE
girianto_,"Yess akhir 02 resmi menang,  resmi  oke  resmi",2024-03-20T15:20:48.000Z,"b'Yess end of 02 officially won, officially okay officially'",POSITIVE
tioborhom,"Memang kata  Bapak  Mahfud, kalau  kalah itu pasti berisik,banyak  yang  disalahkan,KPU,Bawaslu SD Jokowi,,padahal  yang  milih  masyarakat",2024-03-21T00:54:12.000Z,"b'Indeed, Mr. Mahfud said, if you lose it will be noisy, many will be blamed, the KPU, Bawaslu SD Jokowi, even though it was the people who chose it'",NEGATIVE
silabutikbatik,"Inna lillahi wa Inna ilaihi Raji'un, semoga Allah SWT selamatkan bangsa Indonesia dari kekacauan & malapetaka ketika kejahatan terorganisir mengalahkan kebaikan",2024-03-24T06:12:08.000Z,"b""Inna lillahi wa Inna ilaihi Raji'un, may Allah SWT save the Indonesian nation from chaos & disaster when organized crime defeats good""",NEGATIVE
arntefuht,DUA PUTARAN APA DUA PROVINSI DECKK🫵😹🫵😹🔥😭🔥😭,2024-03-20T15:23:44.000Z,TWO ROUNDS WHAT TWO DECK PROVINCES',NEGATIVE
fathinocontext,selamat  Bapak  Prabowo,2024-03-20T16:16:42.000Z,b'congratulations Mr Prabowo',POSITIVE
zulkifli_p_g,"Gk nyangka ya suara Prabowo Gibran sampai segitunya, toplah,,,",2024-03-21T03:45:49.000Z,"I didn't expect Prabowo Gibran's voice to reach that level, toplah...'",POSITIVE
17_kitsune,"Mau  menunggu  komentar, menang curang, KPU  tidak  jujur,  tidak  percaya KPU, Indonesia di ambang kehancuran 😂😂😂 seolah  yang  kalah  tidak  curang, seolah  kalau   yang  menang 01 dan 03 KPU  sudah  jujur, seolah paling tau masa depan Indonesia di tangan  yang  kalah!!! 😂😂😂😂😂mau bawa agama lagi? Agamamu di pertanyakan, buset  sudah  melebihin tuhan! Dr sebelum  pemilihan umum   sudah  tau sapa  yang  menang,  kalau   sudah  tau bisikin ke  yang  kalah ""antum  melakukan apa  ngabisin duit, bawa2 agama, menghina paslon  yang  dulunya pernah bantu antum, teriak penculik ham  sekarang  padahal dulu antum diem  saja  saat dia ada di kubu antum"" ANTUM NGAPAIN HAH??? 😂😂😂😂",2024-03-20T15:19:04.000Z,"b'Want to wait for comments, winning is cheating, the KPU is dishonest, doesn't trust the KPU, Indonesia is on the verge of collapse as if the loser didn't cheat, as if the one who won 01 and 03 the KPU was honest, as if the future of Indonesia is in the hands of the loser!! ! want to bring religion again? Your religion is being questioned, your stupidity has exceeded God! Dr. Before the general election, you already know who will win, if you already know, whisper to the loser, ""What are you doing, wasting money, bringing religion, insulting the candidate pair who used to help you, shouting kidnapper ham now even though previously you just kept quiet when he was in your camp ""WHAT ARE YOU DOING? '",NEGATIVE
dem_alhafiz,Menyala Prabowo-Gibran semoga amanah untuk memimpin negeri ini 5 tahun kedepan periode 2024-2029🔥🔥🔥,2024-03-20T16:24:34.000Z,b'Saying Prabowo-Gibran's mandate to lead this country for the next 5 years for the period 2024-2029',POSITIVE
diko_hanafi26,"Curang tuhhh, 01 & 03 curang  tapi  tetap kalah 😅 😂",2024-03-20T15:28:06.000Z,"b'It's cheating, 01 & 03 cheated but still lost'",NEGATIVE
dmz12347,"Metro  sudah  kembali ke jalan  yang  benar, paloh sudah bersabda menerima kekalahan & mengucapkan selamat ke 02 👏",2024-03-21T09:35:09.000Z,"b'Metro has returned to the right path, paloh has said accept defeat & congratulate 02'",POSITIVE
acehdcoco,"Menang, tapi tersiksa😂 krna bohong dn curang😂 kmi dikalahkn dn curangi tapi bahagia❤️❤️🔥",2024-03-20T15:25:18.000Z,"Winning, but suffering from lies and cheating, we were defeated and cheated but happy'",POSITIVE
aji_pelayaran,Mantap  ini Presiden  pilihan   masyarakat,2024-03-20T15:34:59.000Z,"b'Awesome, this is the people's choice of President'",POSITIVE
puji26ati,Alhamdulillah Prabowo presiden...😍,2024-03-20T15:42:04.000Z,b'Thank God Prabowo is president...',POSITIVE
martinus.djoni,2>1+3....disini rumus matematika tidak bekerja   dengan  sebagaimana mestinya😂,2024-03-20T15:47:17.000Z,b'2>1+3....here the mathematical formula doesn't work as it should',NEGATIVE
jasriyana,Ngeri 96 jt uang nya  dari  mana  saja  tuh 😂 uang haram semua,2024-03-20T16:05:03.000Z,"Horrified that 96 million of this money came from anywhere, it's all haram money'",NEGATIVE
nurasyiah.jamil,Selamat menjabat di IKN🤭😂,2024-03-20T15:33:01.000Z,Welcome to serving at IKN',POSITIVE
tj0hanm,Bangga bisa menjadi bagian  yang  menyumbang suara dari 96.214.691,2024-03-20T15:34:30.000Z,"b'Proud to be part of the votes from 96,214,691'",POSITIVE
putrahastu_,Hukum alam benar nyata dan Dari sini kita sadar bahwasannya  yang  sombong duluan pasti kalah wkwkwk 🔥,2024-03-20T16:45:10.000Z,b'The laws of nature are real and from here we realize that those who are arrogant first will definitely lose hahaha',NEGATIVE
faisalmhl,"Modal bansos 496 T, suara  yang  didapat 96,2 juta, harus nya setiap warga dapat bansos senilai skitar 5 jutaan, tapi cuma dapat 5 kilo beras 😂",2024-03-20T15:51:26.000Z,"b'The social assistance capital is 496 T, the votes obtained are 96.2 million, every citizen should get social assistance worth around 5 million, but they only get 5 kilos of rice'",NEGATIVE
elscantwifesa,Curang👏👏👏,2024-03-20T15:31:28.000Z,b'Cheating',NEGATIVE
rwin.kiyutz,Ga sia-2 bansos buat kampanye 😂,2024-03-20T18:40:12.000Z,b'Not in vain-2 social welfare campaign,POSITIVE
mralbertoi,Congrats  Bapak  Prabowo..buat yang lain ..mari berjiwa besar karena semesta  sebelumnya  berpihak pada anda..,2024-03-20T16:28:07.000Z,b'Congrats Mr Prabowo...for others...let's have a big heart because the universe was on your side...',POSITIVE
high4hugh,"Terserahlah, saya berharap semoga kedepannya yang kita takutkan tidak terjadi. Jika terjadi, mari kita goreng rame rame yang kemaren All in Kabeh. Data, sudah berada di tangan saya.",2024-03-20T15:34:20.000Z,"b'Whatever, I hope that in the future what we are afraid of will not happen. If that happens, let's fry yesterday's Rame Rame All in Kabeh. The data is already in my hands.'",NEGATIVE
doni_antama,Seperti biasa yang kalah bilang curang😢,2024-03-20T15:35:37.000Z,b'As usual the loser says cheat',NEGATIVE
ary147344,Alhamdulillah pemenangnya sudah di tetapkan dari awal Quick Count &  tidak  pernah berubah.,2024-03-20T16:01:33.000Z,b'Thank God the winner has been determined from the start of the Quick Count & has never changed.',POSITIVE
sutaryan.yan,Tetap bersyukur Alhamdulillah meski calonku kalah,2024-03-20T16:23:38.000Z,"Still grateful, Alhamdulillah, even though my candidate lost'",POSITIVE
__niaa20,"MAASYAAALLAH, SELAMAT YA BAPAK😍😍😍",2024-03-20T16:05:15.000Z,"b'MAASYAAALLAH, CONGRATULATIONS YA FATHER'",POSITIVE
agus29setiawn,"Saya sbagi KPPS setelah menjalankan tugas berat, mnahan capek,ngantuk  yang  berat ,skarang lega tugas dah selesai ,siapapun pemenangnya selamat🎉🎉🎉👏👏,  yang  kalah legowo  saja  bentar  lagi  lebaran , Tuhan dah menentukan pilihan😎👍👏👏🎉🎉🎉",2024-03-20T15:09:52.000Z,"b'I, as KPPS, after carrying out a difficult task, endured fatigue, heavy sleepiness, now I am relieved that the task has been completed, whoever wins is safe, the loser just relaxes, it's Eid soon, God has made a choice'",POSITIVE
ikrar_07,"KALAH MENANG ITU LUMRAH. DOA YANG BAIK UNTUK NEGERI BERDAMPAK BAIK UNTUK MASYARAKAT, KALAU YANG BELUM MOVE ON DOA YANG JELEK UNTUK NEGERI MAKA BERDAMPAK JELEK JUGA DIMASYARAKAT.",2024-03-20T15:20:44.000Z,"b'LOSE TO WIN IS COMMON. GOOD PRAYERS FOR THE COUNTRY HAVE A GOOD IMPACT ON SOCIETY, IF YOU HAVEN'T MOVE ON BAD PRAYERS FOR THE COUNTRY THEN THEY WILL ALSO HAVE A BAD IMPACT ON SOCIETY.'",POSITIVE
2d_is.life,selamat  Bapak  Prabowo💥💥💥,2024-03-20T15:03:43.000Z,b'congratulations Mr Prabowo',POSITIVE
yudha_kristo,"Menyebalkan Habis Sudah, Indonesia udah mau dikuasai R*******",2024-03-20T16:18:49.000Z,"b'The annoying thing is over, Indonesia is about to be controlled by R*******'",NEGATIVE
aden.yvci_vw,❤️❤️❤️❤️allhamdullillah ya allah lanjutkan  Bapak  Prabowo🙏🙏🙏🙏🙏,2024-03-20T16:11:11.000Z,b'allhamdullillah ya Allah continue Mr Prabowo',POSITIVE
aarkt23,96jt   sudah  termasuk rsj memilih.,2024-03-20T16:02:00.000Z,b'96 million includes rsj choose.',NEGATIVE
yu_nita3517,Ngeri ya ampe 96😂😂😂😂😂😂😂😂😂😂,2024-03-20T15:56:24.000Z,96' amp music,POSITIVE
juliette.perfume,Congratz... 👏👏,2024-03-20T15:59:07.000Z,b'Congratz... ',POSITIVE
miguellsangi,❤️,2024-03-20T15:42:26.000Z,b'',POSITIVE
mt_kesuma,@official_nasdem sudah menerima hasil  pemilihan umum  baik pilpres & pileg... #keren #mantap #indonesia,2024-03-20T15:42:41.000Z,"b'@official_nasdem has received the results of the general election, both presidential and legislative elections... #cool #steady #indonesia'",POSITIVE
opoiki_we,Survey mmg  tidak  pernah meleset👏👏,2024-03-20T15:45:07.000Z,b'Surveys never miss',POSITIVE
dedyvanbageur,🔥,2024-03-20T15:43:11.000Z,b'',POSITIVE
keluarga.sakinah.180072,😂😂😂setingan iblis laknatullah 👏👏👏👏,2024-03-20T15:40:46.000Z,b'setingan devil cursed',NEGATIVE
yunitacahyati3,Kenapa ya  Bapak  Hasyim terbata bata gitu pas bacain hasill,2024-03-20T15:34:02.000Z,b'Why does Mr Hasyim stutter when he reads the results',NEGATIVE
imamrobanwood,Pemilu  paling  penuh dg masalah.. Tp apakah bs memhuat mrk nyaman..?,2024-03-20T15:33:29.000Z,Elections are full of problems... But can they make them feel comfortable...?',POSITIVE
ajiprayogo.ptr13,Selamat prabowo gibran🔥🔥🔥,2024-03-20T15:34:22.000Z,b'Congratulations Prabowo Gibran',POSITIVE
rainaireen,Congratulation  Bapak  gemoy 🎉🎉🎉,2024-03-20T15:34:39.000Z,b'Congratulations Bapak gemoy ',POSITIVE
gildaycc,Wkwk selamat yaaak 😄 gua  masyarakat  biasa cuma nontonin kinerja nya doang kaya apa ntar kedepan 😄,2024-03-20T15:32:34.000Z,b'Wkwk congratulations yaaak gua ordinary people just watching his performance doang like what later ahead,NEGATIVE
mister_ariyanto,Tidak sia-sia perjuangan paman MK dan cawe-cawe plus bansos😂,2024-03-20T15:31:14.000Z,b'The struggle of uncle MK and his girls plus social assistance is not in vain',POSITIVE
ehzaalalifi_,Rip🔥,2024-03-20T15:31:21.000Z,b'Rip',NEGATIVE
papiyok,Yang menang Senang dan yang Kalah Marah Lumrah saja😂😂,2024-03-20T15:30:51.000Z,b'It's normal for the winner to be happy and the loser to be angry',NEGATIVE
sari_sahara,Suara siluman 130rb orang dalam 1 TPS??? Congratulations??? Hell No!!! Talk to my hand president KPU! ✋✋✋,2024-03-20T15:30:26.000Z,"The stealth votes of 130 thousand people in 1 polling station??? Congratulations??? Hell No!!! Talk to my hand, KPU president! '",NEGATIVE
sang_penjelaja_waktu,😂😂😂😂😂astagfirullah,2024-03-20T15:31:59.000Z,astagfirullah',NEGATIVE
azis_zpro,Kemenangan  yang  dipaksakan,2024-03-20T15:30:42.000Z,b'Forced victory',NEGATIVE
ibnurusydi7,Percaya suara saya segitu,2024-03-20T15:26:03.000Z,b'Trust my voice that much',POSITIVE
ariabdulhamid81_,"Mau ngucapin selamat berat rasanya, karna dari awal banyak kontroversinya, mulai dari melanggar konstitusi , dll.. berdo'a untuk Indonesia  yang  baik kedepannya",2024-03-20T15:24:12.000Z,"b""It's hard to say congratulations, because from the start there was a lot of controversy, starting from violating the constitution, etc... I pray for a good Indonesia in the future""",NEGATIVE
irwansyahpeureulak,"Itu udah jelas kesalahan di pihak kpu tapi mereka tidak akan memperbaiki,,,mereka semua kpu congos cari muka ke pemerintah,,",2024-03-20T15:24:59.000Z,"""It's a clear mistake on the part of the KPU but they won't fix it... they are all KPU looking for face to the government...'",NEGATIVE
yuni.sus8,Hidup tidak akan tenang  karena  kecurangan dan  curang 😰,2024-03-20T15:27:14.000Z,b'Life will not be peaceful because of cheating and cheating',NEGATIVE
random_fotovideo,Selamat Abah @prabowo 🔥❤️,2024-03-20T15:26:25.000Z,Congratulations Dad @prabowo',POSITIVE
p34rt01,"Sesuatu yang didapatkan dengan kecurangan, ketika pelaksanaannya juga akan membuat susah  masyarakat",2024-03-20T15:26:46.000Z,"Something that is obtained through fraud, when implemented will also make things difficult for society'",NEGATIVE
daliyahsyam,"Yg  banyak  suara silumam ,smoga Alla azab orang2  yang  berbuat curang,Aamiin",2024-03-20T15:26:12.000Z,"With many silent voices, may Allah punish those who cheat, Amen'",NEGATIVE
syasya_bisnismilenial,By design .....TSM👏👏👏,2024-03-20T15:21:53.000Z,b'By design .....TSM',NEGATIVE
ir.ichimillisa,UDAH SIAP REFORMASI JILID 2?🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,2024-03-20T15:22:20.000Z,b'ARE YOU READY FOR REFORM VOLUME 2?',NEGATIVE
karyamuslimah22,ويل للمطففين🔥🔥🔥,2024-03-20T15:25:07.000Z,b' ',POSITIVE
stefanchandraa_,"Gapapa, yang penting syukur alhamdulillah PSI  tidak  lolos",2024-03-20T15:22:45.000Z,"It's okay, the important thing is thank God PSI didn't pass.'",POSITIVE
msafiifii,O2 capuran suara jin sama dedemit,2024-03-20T15:20:25.000Z,bO2 mix of genie and demit sounds',POSITIVE
santi.tegal,Innalillahi wa innailaihi rojiun,2024-03-20T15:23:22.000Z,Innalillahi wa innailaihi rojiun',NEGATIVE
ewinbulle,"Emang masih penting ya angka2 beginian ?? 1 putaran fixed, dari satu arahan..u MK",2024-03-20T15:23:38.000Z,"b'Is it true that numbers like these are still important? 1 round fixed, from one direction..u MK'",NEGATIVE
wahyuadisurya,Gass poll Jendral @prabowo,2024-03-20T15:23:34.000Z,Gass poll General @prabowo',NEGATIVE
restyfawzia,Semua sudah di setting sejak awal.. masih ingat kan ada presiden  yang  ngomong SAYA AKAN CAWE CAWE. Anehnya di Indonesia ini  masyarakat  nya ikhlas2  saja  mau dicurangi,2024-03-20T15:17:01.000Z,Everything was set up from the start... do you still remember the president saying I WILL CAWE CAWE. It's strange that in Indonesia people are willing to cheat.',POSITIVE
ekayani.yani.391,Suara 02 banyak dari gaib😂,2024-03-20T15:19:44.000Z,b'02 many sounds from the supernatural',POSITIVE
rahmatputraginting,😍😍😍,2024-03-20T15:17:11.000Z,b'',POSITIVE
dahrul2022,"Ter Sistem...Pintar.... Cb kl di bikin 50 %...no.2, akan Ribut lagi... Kl 58% mental 01 dan 02 jadi Down... Licik licik",2024-03-20T15:17:27.000Z,"b'Ter Sistem...Smart.... Cb when it's made 50%...no.2, it will storm again... At 58% mental 01 and 02 become Down... Cunning cunning'",NEGATIVE
fitriandayani.85,Innalillahi wainna ilaihi rojiuun,2024-03-20T15:21:14.000Z,Innalillahi wa inna ilaihi rojiun',NEGATIVE
jp_ridho,"Selamat datang Nepobaby dan NewOrba versi Alibaba. semoga amanah dan bisa buat NKRI UTUH, TENTRAM DAMAI DAN EMAS. SEMOGA !",2024-03-20T15:17:36.000Z,"Welcome to Alibaba's version of Nepo Baby and Neo Orba. I hope it is trustworthy and can make the Republic of Indonesia WHOLE, PEACEFUL AND GOLD. HOPEFULLY !'",POSITIVE
